,id,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,owner_2_score,RATE_owner_2,CAP_AMOUNT_owner_2,PERCENT_OWN_owner_2,owner_3_score,RATE_owner_3,CAP_AMOUNT_owner_3,PERCENT_OWN_owner_3,years_in_business,RATE_ID_FOR_years_in_business,fsr,RATE_ID_FOR_fsr,location,RATE_ID_FOR_location,funded_last_30,RATE_ID_FOR_funded_last_30,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,INPUT_VALUE_ID_FOR_judgement_lien_time,RATE_ID_FOR_judgement_lien_time,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,RATE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,RATE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
900,4813,606,A,150000,100,,,,,,,,,2.07,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,606,A,150000,100,4642,Paid off with renewal
329,1406,703,A,150000,100,,,,,,,,,26.57,A,73,,Verified,A,N,,0,A,0,A,,,0,A,12.75,A,107027.25,A,36505.2275,A,0.34,A,0,A,0,A,0,A,1,A,107027.25,,preferred,,703,A,150000,100,1362,Paid in full
1035,7415,692,A,150000,100,,,,,,,,,42.1,A,19,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,692,A,150000,100,6485,Default
1670,6759,684,A,150000,100,,,,,,,,,5.53,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,684,A,150000,100,6035,Paid via discounted payoff
1726,5867,625,A,150000,100,,,,,,,,,1.65,B,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,625,A,150000,100,5299,Paid in full
1900,7491,677,A,150000,50,654,A,150000,50,,,,,0.99,C,6,,Verified,A,N,,0,A,0,A,,,1,A,3.75,C,407304.5,A,134600.375,A,0.33,A,0,A,0,A,0,A,1,A,407304.5,,preferred,,665,A,150000,100,6518,Default
1885,9464,601,B,100000,100,,,,,,,,,3.94,A,26,,Verified,A,N,,0,A,0,A,,,1.5,B,18.25,B,78771.7,A,11854.6875,A,0.15,A,0,A,0,A,0,A,1,A,78771.7,,preferred,,601,B,100000,100,7777,Default
108,562,525,C,35000,100,,,,,,,,,1.66,B,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,20348.33333,A,1858.666667,A,0.09,A,0,A,0,A,0,A,1,A,20348.33333,,preferred,,525,C,35000,100,486,Paid off with renewal
951,6715,588,B,100000,100,,,,,,,,,5.64,A,29,,Verified,A,N,,0,A,0,A,,,0,A,24.66666667,A,15947.66667,A,3111.666667,A,0.2,A,0,A,0,A,0,A,0,A,15947.66667,,preferred,,588,B,100000,100,5972,Paid off with renewal
1335,3257,0,,,100,,,,,,,,,0.93,C,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,0,,,0,3435,Paid off with renewal
1462,5034,655,A,150000,100,,,,,,,,,3.65,A,69,,Verified,A,N,,0,A,0,A,,,3,C,146,A,198839.3267,A,8777.266667,A,0.04,A,0,A,0,A,0,A,1,A,198839.3267,,preferred,,655,A,150000,100,4666,Paid in full
427,2609,542,C,35000,100,,,,,,,,,25.9,A,,,Home,A,N,,0,A,0,A,,,0.857142857,A,29.71428571,A,81253.71429,A,6892.571429,A,0.08,A,0,A,0,A,0,A,1,A,81253.71429,,preferred,,542,C,35000,100,2724,Paid in full
1435,4522,500,C,35000,100,,,,,,,,,6.98,A,6,,Verified,A,N,,0,A,0,A,,,1,A,23.75,A,103631.675,A,5852.5125,A,0.06,A,0,A,0,A,0,A,2,C,103631.675,,preferred,,500,C,35000,100,4468,Default
1521,5038,655,A,150000,100,,,,,,,,,3.65,A,69,,Verified,A,N,,0,A,0,A,,,3,C,146,A,198839.3267,A,8777.266667,A,0.04,A,0,A,0,A,0,A,2,C,198839.3267,,preferred,,655,A,150000,100,4666,Paid in full
339,1928,616,A,150000,80,613,A,150000,20,,,,,20.53,A,69,,Verified,A,N,,0,A,0,A,,,0.4,A,67.2,A,49269.8,A,2950.6,A,0.06,A,0,A,0,A,0,A,1,A,49269.8,,preferred,,615,A,150000,100,1971,Paid off with renewal
